content
Sangat membantu sekali
menyenangkan
"PARAH BANGET, KLO UJAN GAPERNAH ADA DRIVER PDHL BURU2, PESAN YG MOBIL JUGA"
jos
sat set cepat
trimaksih sudah memudahkan perjalanan saya🙏
good job
mantep
"kok sekarang gojek untuk bagian gofood sering bangett telatt yaa, dan itu telat nya bisa smpe 25-30 menit"
"susah banget masuk akun lama, hrus masuk goto pin segala.. lama gak pernah pkai apl ini, mau dipkai lagi ribet banget"
oke
oke
gojek mantap👍👍👍
mantap
mantap
oke
"cepat ,tepat, ramah, terbaik ."
ok
"suka naikin harga tiba""!"
sangat membantu sekali 👍
great job
Keren
sangat memuaskan
kalau titik penjem butan di desa bnyak driver yg minta cencel
map cukup akurat
kenapa?
okehh
👍👍
seneng pake gojek
setiap pesan selalu cepat dan driver nya ramah
pelayanan cepet sekali
Bersyukur
"sip,instan"
jos
good
Gojek sangat membantu...
pelayanan memuaskan
bagus
pelayanan memuaskan
sering dapet driver yang letaknya jauh sehingga customer menunggu lebih lama
oke
banyakin ya promo nya
Alhamdulillah drever ramah
gojek emang joss
sudah di tunggu lama ujung2nya pesanan di batalin setiap pesen makanan... gak jelas ...
Aplikasi Nya Bagus
kang kurir nya ramah pengantaran cepat
"next update aplikasi tolong lebih transparansi lagi, soal rating penumpang dan driver. agar adil sama-sama bisa liat rating bintang masing-masing."
"mohon kepada aplikator goojek,,,seurvei dulu rumah makany partnerny sebelum di sahkan jualan di aplikasi masa resto abal2 kaya yg baru saya pesan bisa masuk ke aplikasi goojek... mohon kerja samany pak ...kalau gk mw jelek aplikany jgn asal masuk j...."
mantap
bermanfaat untuk jutaan orang indonesia
bagus dan baik' bagi penumpang
jarang dipake. bagus sih aplikasinya. ok
oke
Makasih bang driver lancar terus yaaa
kasih diskon terus donk
cukup membantu. ga pake ribet sendiri.
APA APA HARUS BAYAR LEBIH AGAR DAPAT LAYANAN YG MAKSIMAL! PLEASE PERBAIKAN DONG KALO GINI MAU PESEN GOFOOD DENGAN PENGIRIMAN REGULER DAPET DRIVER LAMA BGT EMNG HARUS PAKAI EXPRES DAN BALIK LAGI JAUH LEBIH MAHAL
sangat memudahkan bepergian dengan mudah
sangat membantu
okeeeeee
"mending naik taksi, argo gocar murah tapi di censel drivernya. driver nya mengeluh potongan gede pantes pelayanan driver tidak ramah, aplikator nya mengambil potongannya besar. 30 % kasihan drivernya udah modal bensin, mobil, waktu, servis mobil sendiri."
"Krn kesibukan makannya bayar PKB via GoTagihan agar menghindari denda keterlambatan, lakok malah status dalam proses sampai 3hari kerja, hbs itu status gagal, ealah sama aja akhirnya tetep kena denda terlambat, klo blm siap digital dihapus aja, skip otw uninstal app"
bagus
ta hapus aja.. klo dah normal a+ nya mungkin baru ta install lagi.. mending langsung ketempat makan nya biar nda di rumah terus
"sekarang belum pesen apa"" langsung otomatis..padahal cuma liat harga ojek doang malah langsung otomatis pesanan..maaf ya aku uninstall"
Kepada pihak direktur ojek. tolong di sjahtrakan pengemudi ojek. driver .. jngan hnya mengambil keuntungan saja.. ok..
😁
"mantap lah intinya, males ngetik panjang"
cpet dapat driver
bagus
"aman ,mudah ,cepat koreksi sedikit biar semua driver bisa ramah terus ke penumpang ya terimakasih"
oke
sangat puas dengan aplikasi ini
Mohon jangan terlalu sering tampilkan iklan dong mengganggu aktivitas di HP lalu lintas iklan non stop sampai g bisa tilus di HP kehapus terus sama iklan mohon perhatikan kepentingan publik
oke semuanya ....
ok
berguna bgt sih
baik bagus
pas
"untuk ordernya harus pakai pay later gajelas, di alihkan terus ke pay later saya jadi telat ke kantor"
"langganan gojek plus, eh gk ngaruh. ttep aja ada voucher ptongan, harganya mah sgtu gtu aja. gila sih gojek skrang. bnyak nipu."
sangat membantu saat kita mau berpergian
pengemudinya sangat ramah
selama ini sih dapat driver nya yg bagus semua
mahal dan suka eror
Sangat membantu disaat butuh bantuan. Terimakasih
tarifnya murah terimakasih gojek
lebihh mudah dan praktis pake aplikasi ini mau pesen makanan atau pun ojol
sopan banget
👍
ok
"ada hp ketinggalan, driver ditlp langsung balik dan ambil hp. mantul"
mudah drivernya di cari
mantap bossss
semoga lancar dan sukses selalu..
mantap
nice
mantap
terima kasih
good
terbaik 👍👍
skrg gojek kok mahal
"Ngumpul sama kawan jam 2 pagi Pesan gofood, lewat sejam gaada driver yg dpt, gw pergi nyari tempat makan, selesai makan ditelpon driver nanya alamat, kocak x gojek ini aturan kalo gaada driver 30 menit di cancel sistem lah, kasian driver nya untung gw mau ambil tu makanan sekalian bayarin punya kawan gw yg udah pulang"
kalau naik go car sering di cancel
baguss ngga mengecewakanlah..
ok
sat set gak ribet. banyakin lagi promo diskonnya
"Cukup berat, butuh koneksi internet yg bagus untuk agar lancar"
Tingkatkan terus fiturnya.. inovasi inovasi 👍☺️
"Tiap hari hujan kenapa susah bgt dapat drivernya untuk gofood padahal pas momen itu lah orang menggunakan aplikasi ini karena kalo hujan orang gabisa keluar beli makanan udah coba berkali kali tetap tidak menemukan driver sudah rubah juga ke ongkir yg mahal tetap juga ga dapat bikin kesal ,jadi karena masalah itu saya sedikit kecewa dan jadi kurang membantu untuk saya ."
"Gajelas banget ni lama-lama aplikasi, ngebug mulu kode promonya"
terimakasih
sudah tidak rekomen.. gofoodnya mahal.
min oknum driver mu ga tanggung jawab mantol aku hilang pas balik buat nyari kata bapak yg liat diangkut sama oknum driver mu
"Knpa susah banget buat daftar warung buat gofood ya, kata nya nanti dihubungi seletah kami sampaikan kelengkapan nya, sampai sekarang g ada kabar, admin nya di hub g ngangkat, di chat g pernah di read...didatengin katax sabar aja nanti di hub gitu terus"
